0x00000000, 0x070708FF, 0x0B0A0AFF, 0x1C1A1BFF, 0x1D1D1EFF, 0x2D2C2EFF, 0x323231FF, 0x363839FF, 
0xC38D6EFF, 0xD26820FF, 0x533725FF, 0xE27E3DFF, 0xDA9971FF, 0xF8A068FF, 0x8F7564FF, 0xE9853FFF, 
0x915328FF, 0xE47C2FFF, 0x7B5E4AFF, 0xECA876FF, 0xD87319FF, 0x9F560CFF, 0x85674DFF, 0x854F1AFF, 
0xEDAA6EFF, 0x7B5027FF, 0x8C551AFF, 0xFDC38CFF, 0xC9AC91FF, 0x7C6046FF, 0x674827FF, 0x6C4210FF, 
0xAE712BFF, 0xE99021FF, 0xBA9976FF, 0x79562FFF, 0xC97C13FF, 0x4F3A22FF, 0xF49A25FF, 0xEFAD5FFF, 
0xDA9F58FF, 0x94662BFF, 0xCF9246FF, 0x725632FF, 0xD7AF7CFF, 0xFBB04AFF, 0xC08C45FF, 0xC78C36FF, 
0xBC9A69FF, 0xF4AE3DFF, 0xBC8529FF, 0x9E8E76FF, 0xF4C16DFF, 0xDFB778FF, 0x4E3F28FF, 0xF9B330FF, 
0xC0A982FF, 0xD7AA59FF, 0xC49C4AFF, 0xB9AB8FFF, 0xBFA46FFF, 0xDDC389FF, 0xC5992EFF, 0x614D19FF, 
0x916F12FF, 0xD4B461FF, 0xE8CE8BFF, 0x9C7B0CFF, 0x836D2CFF, 0x9C874BFF, 0x544413FF, 0xEBE1C3FF, 
0xEFC114FF, 0xFFDC67FF, 0x917928FF, 0xEDCA4BFF, 0xD1C596FF, 0xB59C3CFF, 0xDFC24BFF, 0x9A8A46FF, 
0xE9CF5FFF, 0x7A6E3DFF, 0xB79C10FF, 0xCBB965FF, 0x5E531FFF, 0xF4D84AFF, 0x6F642FFF, 0xFFEC88FF, 
0x655B25FF, 0xF4D942FF, 0xFCE45FFF, 0xB4A343FF, 0x7D6E0EFF, 0x988A33FF, 0x8C834CFF, 0x6C6530FF, 
0x6C6A4EFF, 0xB7A93AFF, 0xA6A15EFF, 0xFEEE3AFF, 0x8C842AFF, 0x898760FF, 0x928A25FF, 0x5D591DFF, 
0x87843FFF, 0xB9B55CFF, 0xF9F699FF, 0x6C6C4BFF, 0xDDD940FF, 0xC4C58DFF, 0xF4F365FF, 0xFBFDBEFF, 
0xA8AA59FF, 0xF2F45FFF, 0x939642FF, 0xD6DC30FF, 0xBCC17EFF, 0x81853DFF, 0xD6E032FF, 0xA0A761FF, 
0x636919FF, 0x7C853AFF, 0x3C4028FF, 0xA7B558FF, 0x646F27FF, 0xE2F590FF, 0x515C0DFF, 0x99AB3CFF, 
0xDBFD57FF, 0x717B52FF, 0x9AA774FF, 0xB6BEA2FF, 0x87A02FFF, 0x788559FF, 0xAFBD8EFF, 0xDBFF77FF, 
0xC5ED4DFF, 0xA7C068FF, 0x909C74FF, 0x84A70AFF, 0xDDFB9DFF, 0xA4BC6EFF, 0x5C7320FF, 0x657348FF, 
0x3B4919FF, 0xAED554FF, 0xD1FD6DFF, 0x637C20FF, 0x839858FF, 0xB3E042FF, 0x7B983BFF, 0xCCFD64FF, 
0x8AAD3FFF, 0x759236FF, 0x709220FF, 0x9ED021FF, 0x788660FF, 0x576C34FF, 0x93AA70FF, 0xA5E22EFF, 
0xAFBE9DFF, 0x759348FF, 0xC2F576FF, 0x536E28FF, 0x4B622AFF, 0x5E8322FF, 0x415D11FF, 0x84AF4DFF, 
0x677756FF, 0x5D8328FF, 0x8AB358FF, 0xC3E4A2FF, 0xB8D798FF, 0x6C8552FF, 0x76AA3AFF, 0x70A339FF, 
0x6D904DFF, 0x69A921FF, 0xD9F5C4FF, 0x80D028FF, 0x77AA4BFF, 0x6EB522FF, 0x8BBE63FF, 0x76BF33FF, 
0x15200BFF, 0x405C29FF, 0x81B15DFF, 0xA3E377FF, 0x829576FF, 0x95DE68FF, 0x93B97EFF, 0x98B38AFF, 
0x38641CFF, 0x95B884FF, 0x71C444FF, 0x31541DFF, 0x53962FFF, 0x6FAD51FF, 0x355A23FF, 0x9EB494FF, 
0x1E2F16FF, 0x90FC63FF, 0x1C3412FF, 0x87FD56FF, 0xC6FFB2FF, 0x83EB5BFF, 0x65C640FF, 0x3C6C2EFF, 
0x94D085FF, 0x308019FF, 0x7CE864FF, 0x5FFB3BFF, 0x54E23AFF, 0x63C455FF, 0x207C16FF, 0x0E3A09FF, 
0x41823AFF, 0x5BA256FF, 0x1BD919FF, 0x1C781BFF, 0xC4FCBFFF, 0x265224FF, 0x45BF43FF, 0x2B6E2CFF, 
0xA2D5A0FF, 0x64C663FF, 0x097515FF, 0x37C53FFF, 0x3FFC4FFF, 0x48BB4EFF, 0x246528FF, 0x59BE5EFF, 
0x2D9F39FF, 0x10A22DFF, 0x477449FF, 0x6EB272FF, 0x24B83FFF, 0x4A754DFF, 0x60D26DFF, 0x247F35FF, 
0x18B342FF, 0x2B9240FF, 0x18FA5CFF, 0x459752FF, 0x44A656FF, 0x53E972FF, 0x1CBC4BFF, 0x35C859FF, 
0x6FF889FF, 0x0E8A38FF, 0x68BA77FF, 0x45BF63FF, 0x97F0ADFF, 0x47BF6DFF, 0x50AB6CFF, 0x31854EFF, 
0x37CC6FFF, 0x339255FF, 0xA7D7B4FF, 0xA3E0B4FF, 0x2BF182FF, 0x4FA46CFF, 0x93E2ABFF, 0x143922FF, 
0x6EA881FF, 0x4DF692FF, 0x3FB06EFF, 0x477457FF, 0x10D176FF, 0x10BA6AFF, 0x80EAA8FF, 0x70B88BFF, 
0x11C672FF, 0x33F090FF, 0x1D784AFF, 0x5BDC95FF, 0x14482DFF, 0x13B16AFF, 0x42594BFF, 0x61B283FF, 
0x77E9A7FF, 0x4EA675FF, 0x3EB678FF, 0x5AB080FF, 0x44A371FF, 0x2C8258FF, 0x14DD93FF, 0x82E8B6FF, 
0x80AC95FF, 0x62CA99FF, 0x6FB492FF, 0x257C57FF, 0x2EF9ABFF, 0x2F6950FF, 0x4DE5AAFF, 0xC5FCE2FF, 
0x216249FF, 0x74F4C0FF, 0x227154FF, 0x1FB285FF, 0x2FBB8FFF, 0x4B7767FF, 0x4DAA8AFF, 0x245D4BFF, 
0x19A783FF, 0x87D2BBFF, 0x78B3A1FF, 0x3F7F6EFF, 0x61A995FF, 0xAEFEE7FF, 0x6A9B8DFF, 0x26A78CFF, 
0x085F50FF, 0x55CAB2FF, 0x68B1A2FF, 0x58B8A6FF, 0x1D8B7AFF, 0x2C776AFF, 0x48BEAAFF, 0x26544CFF, 
0x1E8677FF, 0x739B95FF, 0x5DAEA4FF, 0x0E766EFF, 0x49C8C0FF, 0x6FF9F1FF, 0x3D5D5BFF, 0x3CE9E5FF, 
0x8EC8C6FF, 0x9ECFCEFF, 0x193D3EFF, 0x6BACAEFF, 0x3B7375FF, 0x224C4EFF, 0x25A8AFFF, 0x6CC3C9FF, 
0x17575BFF, 0x6DB5BAFF, 0x4CBDC5FF, 0x91E7EFFF, 0x4ACBD9FF, 0x9DE5EEFF, 0x99CAD1FF, 0x65DFF5FF, 
0x12BFDAFF, 0x3DAABFFF, 0x032C34FF, 0x25505AFF, 0x32D5F8FF, 0x47BAD5FF, 0x3C8294FF, 0x6ECDE7FF, 
0x68C4DEFF, 0x4C889AFF, 0x2D4C55FF, 0x22849FFF, 0x45CBF1FF, 0x42B2D3FF, 0x42BBE3FF, 0x0E627DFF, 
0x154354FF, 0x2BC4FFFF, 0x1BADE9FF, 0x1F729AFF, 0x47B1E9FF, 0x476B80FF, 0x2D8BBFFF, 0x98C8E7FF, 
0x072A3CFF, 0x2E6384FF, 0x03344CFF, 0x84C8F6FF, 0x397DA8FF, 0xC4E3F7FF, 0x698BA2FF, 0x1885C4FF, 
0x9FC9EBFF, 0x5FA8E0FF, 0x7FA5C4FF, 0x103C5DFF, 0x06121CFF, 0x6FABE0FF, 0x4186C2FF, 0x1163A1FF, 
0x63B5FFFF, 0x1181DCFF, 0x46A1F8FF, 0x67B1F9FF, 0x22415FFF, 0x8DC4FDFF, 0x0F3457FF, 0x2071C5FF, 
0x1D5187FF, 0x91A8C1FF, 0x27558AFF, 0x0D3158FF, 0x125499FF, 0x426D9FFF, 0x549DF3FF, 0x235CA0FF, 
0x226BC9FF, 0x68A1F7FF, 0xB4C5DCFF, 0x78A8F0FF, 0x8799B3FF, 0x0D6AEDFF, 0x2865C8FF, 0x113C81FF, 
0x6491DDFF, 0x3E557BFF, 0x203D71FF, 0x90B5F5FF, 0x0E2C66FF, 0x3B69C5FF, 0x0E2044FF, 0x050E22FF, 
0x305FC3FF, 0x4577E4FF, 0x2560F4FF, 0x81A3E8FF, 0x2861FFFF, 0x77A0F9FF, 0x3F70EEFF, 0x21409BFF, 
0x3F68D8FF, 0x6D87C4FF, 0x1632A4FF, 0x2246EAFF, 0x2950E9FF, 0x7088C2FF, 0xACBCE1FF, 0x0D184CFF, 
0x1713AFFF, 0x3854C2FF, 0x2B44D1FF, 0x0F0E6DFF, 0x324DF3FF, 0x334AF4FF, 0x2118D2FF, 0x7F9DFCFF, 
0x172167FF, 0x2119CEFF, 0x3A4A86FF, 0x171188FF, 0x2104C2FF, 0x2510D8FF, 0x3241E2FF, 0x19224BFF, 
0x495DC0FF, 0x4457E9FF, 0x3333DFFF, 0x4454E6FF, 0x7382BDFF, 0x1E1888FF, 0x3036B0FF, 0x464FF7FF, 
0x5160DBFF, 0x8999E1FF, 0x232088FF, 0x2D3461FF, 0x4750D4FF, 0x3D46A6FF, 0x3F4996FF, 0x0B052EFF, 
0x3E2AF2FF, 0x3536ACFF, 0x7585FFFF, 0x292E6DFF, 0x27109AFF, 0x110842FF, 0x414879FF, 0x2C2697FF, 
0x9BA6E3FF, 0xB6BEEDFF, 0x3F449BFF, 0x4527FCFF, 0xA9B3FDFF, 0x838CD3FF, 0x747BF6FF, 0x4E45E3FF, 
0x9FA7ECFF, 0x4F47DBFF, 0x6C72D4FF, 0x4437C8FF, 0x8086C5FF, 0x33346BFF, 0x5757C4FF, 0x5B5ACAFF, 
0x6462E3FF, 0xCCCFEFFF, 0x797BEAFF, 0x4C2FDEFF, 0x5B4AEFFF, 0x554BCFFF, 0x383383FF, 0xCACDFDFF, 
0x4B03E6FF, 0x403B8DFF, 0x4F4C9BFF, 0x4D2BD5FF, 0x8587C0FF, 0x4430AFFF, 0x6E60EBFF, 0x4729B7FF, 
0x51507DFF, 0x5F5D93FF, 0x5F33EDFF, 0x646195FF, 0x5743B9FF, 0xC3C2E2FF, 0x564F8DFF, 0x6A3BF6FF, 
0x7B63EFFF, 0x382875FF, 0x5A24D7FF, 0x2A2645FF, 0x0E0224FF, 0x5631BFFF, 0x9F95E3FF, 0x6622F1FF, 
0x7B69D1FF, 0x6A4DD0FF, 0x362867FF, 0x7A4CFDFF, 0x9081DDFF, 0x724CE2FF, 0x7240ECFF, 0x4A14A8FF, 
0x7143E6FF, 0x3A167FFF, 0x45049DFF, 0x8A72E2FF, 0xABA3D8FF, 0x612DCBFF, 0x784DE8FF, 0x8573C9FF, 
0x9982E8FF, 0xA58AFFFF, 0x482E87FF, 0x946FFCFF, 0x6D0BEBFF, 0x652FCAFF, 0x642EC8FF, 0x1E103AFF, 
0x8555F1FF, 0xAFA1E2FF, 0x1D182DFF, 0xD3C7FEFF, 0x5F5481FF, 0x7140D0FF, 0x8879B5FF, 0x6125BFFF, 
0x6B28D0FF, 0x9772ECFF, 0xB19FE4FF, 0x634B9AFF, 0x4A3871FF, 0x6A23CBFF, 0x352D48FF, 0x9B74EFFF, 
0x9768F1FF, 0x6D32C7FF, 0x7711E9FF, 0x9C73E7FF, 0x7F4FCDFF, 0x7714E0FF, 0x885ECCFF, 0x9248F8FF, 
0x8D6ACAFF, 0x7C21E1FF, 0x6929B7FF, 0x591B9FFF, 0x6E5697FF, 0x8038DBFF, 0x8C39F0FF, 0x4B376CFF, 
0x4A326EFF, 0x9146EFFF, 0x59358BFF, 0x8D56D9FF, 0x8712F0FF, 0x855EC0FF, 0x754CADFF, 0x8B0EF6FF, 
0x5B2996FF, 0x52416CFF, 0x301250FF, 0x52307FFF, 0x8D21F4FF, 0x8356BEFF, 0x3D1B62FF, 0x2E1449FF, 
0x5D457DFF, 0x564A67FF, 0x824BBEFF, 0xA491BDFF, 0x652A9CFF, 0x472A65FF, 0x825EAAFF, 0x9C3AF2FF, 
0xB173F3FF, 0x8E39D5FF, 0x9D41EAFF, 0x7124ADFF, 0x6B359CFF, 0x9864CAFF, 0x3C095DFF, 0xC297EEFF, 
0xA56ED7FF, 0xAF8BD2FF, 0x8B53BBFF, 0xC4B3D5FF, 0xB24EFFFF, 0x8D1BD7FF, 0x783BA8FF, 0x7D39B2FF, 
0xB06EE7FF, 0xB455FCFF, 0x2F1E3DFF, 0x9C55D0FF, 0xA78FBAFF, 0x9B24E2FF, 0xC996F2FF, 0xB96EF0FF, 
0x8A1BCAFF, 0x9823DDFF, 0xA51EF0FF, 0xA53BE8FF, 0xB79BCDFF, 0xAB3FEEFF, 0xDBB0FBFF, 0x612D82FF, 
0xA92FECFF, 0xB93EFFFF, 0xC88BF2FF, 0x8134ADFF, 0xA221E3FF, 0x5F2480FF, 0xB84CF6FF, 0xB04BE8FF, 
0xD8C2E7FF, 0x711D9AFF, 0x9661B4FF, 0xBB92D4FF, 0xD39CF2FF, 0x9D44CAFF, 0x7A3A9AFF, 0xC967FAFF, 
0xC563F6FF, 0x70348BFF, 0x9831C3FF, 0xA230CFFF, 0xB269D1FF, 0xC1A4CEFF, 0xAB4BD0FF, 0xAB10DDFF, 
0xDB98F5FF, 0xBC28EDFF, 0xA249C2FF, 0x83319FFF, 0xBF83D4FF, 0x744585FF, 0xDA90F3FF, 0x500A63FF, 
0xC16CDCFF, 0x70487DFF, 0x9A31B8FF, 0xC058DFFF, 0xD95AFDFF, 0xA54EBCFF, 0xDAA4E8FF, 0xD627FFFF, 
0xD193E1FF, 0x511060FF, 0xE88BFFFF, 0x8C479DFF, 0xB54ECEFF, 0xC04FD9FF, 0x902BA5FF, 0xBD75CDFF, 
0x7D5287FF, 0xDA3DFAFF, 0xB04CC5FF, 0xDC6AF2FF, 0xE396F0FF, 0xAC57BCFF, 0xF4AAFFFF, 0xC048D6FF, 
0x70317AFF, 0xCF77DCFF, 0xB372BDFF, 0xBD32D1FF, 0xD73BEDFF, 0xBE3FCEFF, 0xA121B0FF, 0xCD21E0FF, 
0xEF70FCFF, 0xBE0BCEFF, 0xE050EDFF, 0xE171EAFF, 0x9A539EFF, 0xECB2EEFF, 0xD683D9FF, 0xF56AFDFF, 
0xD10ADEFF, 0x674768FF, 0x9B36A1FF, 0xEC24F8FF, 0xB828C0FF, 0x7B0F81FF, 0xA536A9FF, 0xF12CF8FF, 
0xFA6DFCFF, 0xD863D8FF, 0xF278F1FF, 0xD618D9FF, 0x371A37FF, 0xAA69A8FF, 0x862186FF, 0xDABED8FF, 
0x531853FF, 0xCF1DCEFF, 0xCD4CC9FF, 0xE558E0FF, 0x845081FF, 0x972294FF, 0xF632EFFF, 0xC864C1FF, 
0xE04DD8FF, 0xFCBFF5FF, 0xF2C6EBFF, 0x5A2D54FF, 0xF748E7FF, 0xF476E5FF, 0x813279FF, 0xD735C7FF, 
0x885180FF, 0x2B1328FF, 0xEC23DAFF, 0xF97FE8FF, 0x9F1692FF, 0xE15AD0FF, 0xF03BDCFF, 0xF461E1FF, 
0xF230DDFF, 0xE40FCEFF, 0x472A42FF, 0xD38EC6FF, 0xE987D6FF, 0xC93AB4FF, 0x6E3D65FF, 0xCD82BDFF, 
0xA42C91FF, 0xDD43C3FF, 0xCC3CB3FF, 0xF085D9FF, 0xCE91BFFF, 0xB5299DFF, 0xC841ADFF, 0xB23C9AFF, 
0xDB23BBFF, 0xBA3AA0FF, 0xF93DD5FF, 0xF23FCFFF, 0x431639FF, 0xF96FD7FF, 0xE994D2FF, 0xB13896FF, 
0xFC35D3FF, 0x821F6DFF, 0x921B79FF, 0xF634CBFF, 0xEC85CFFF, 0xE856C1FF, 0xC149A0FF, 0xF852CAFF, 
0xDE2EB1FF, 0xF90EC4FF, 0xFF71D3FF, 0x963F7CFF, 0xCF80B3FF, 0xE21EAFFF, 0x591546FF, 0xE27FBFFF, 
0xE835B2FF, 0xCD399EFF, 0xD635A4FF, 0xF616B5FF, 0xE812A9FF, 0xC3659DFF, 0xE334A3FF, 0x952F6DFF, 
0xEC16A5FF, 0x760C52FF, 0xF582C2FF, 0xCC278DFF, 0x492839FF, 0xFC42ADFF, 0x3A0D27FF, 0xDE3C98FF, 
0xFC69B7FF, 0xB05E86FF, 0xA5156AFF, 0xFA83BDFF, 0xE43997FF, 0xD2308AFF, 0xC82081FF, 0x502B3CFF, 
0xF753A5FF, 0x4A0A2EFF, 0x894865FF, 0x491730FF, 0xB02068FF, 0xFA4498FF, 0x6D153FFF, 0xAF1F64FF, 
0x942557FF, 0xEC72A2FF, 0xFC2D8EFF, 0x4C162DFF, 0xF25394FF, 0x753B4FFF, 0x562236FF, 0xD7407AFF, 
